time	RMS
63.785	0.835
63.901	0.674
64.087	0.557
64.180	0.341
64.482	0.630
64.621	0.761
64.644	0.707
64.877	0.584
65.109	0.434
65.341	0.412
65.527	0.982
65.573	0.520
65.829	0.453
66.038	0.472
66.200	0.495
66.339	0.583
66.409	0.721
66.548	0.470
66.641	0.322
66.873	0.441
67.082	0.478
67.268	0.689
67.431	0.537
67.733	0.490
67.895	0.432
68.197	0.607
68.290	0.323
68.917	0.235
69.033	0.189
69.590	0.159
69.962	0.214
70.821	0.685
70.960	0.617
71.053	0.576
71.308	0.404
71.471	0.318
71.680	0.636
71.935	0.462
72.168	0.475
72.353	0.537
72.586	0.732
72.841	0.540
73.096	0.506
73.259	0.470
73.421	0.600
73.491	0.516
73.723	0.369
73.839	0.320
73.979	0.259
74.211	0.259
74.350	0.678
74.466	0.691
74.629	0.547
74.815	0.575
74.954	0.426
74.977	0.442
75.256	0.669
75.372	0.402
75.558	0.317
75.767	0.518
75.836	0.530
75.906	0.558
76.022	0.575
76.231	0.882
76.324	0.773
76.510	0.641
76.603	0.501
76.881	0.423
77.021	0.466
77.067	0.546
77.322	0.401
77.485	0.290
77.926	0.662
77.996	0.806
78.112	0.667
78.414	0.491
78.553	0.530
78.785	0.681
79.018	0.626
79.180	0.502
79.435	0.519
79.668	0.863
79.807	0.621
79.946	0.500
80.132	0.519
80.364	0.497
80.504	0.454
80.573	0.531
80.689	0.376
80.991	0.369
81.131	0.525
81.386	0.596
81.688	0.406
81.781	0.319
81.920	0.385
82.013	0.320
82.268	0.363
82.292	0.554
82.408	0.544
82.524	0.373
82.779	0.672
82.895	0.508
83.104	0.351
83.406	0.259
83.476	0.345
83.731	0.444
83.801	0.409
84.010	0.287
84.335	0.402
84.405	0.375
84.497	0.311
84.776	0.381
85.008	0.745
85.124	0.730
85.380	0.564
85.449	0.324
85.635	0.259
85.867	0.638
85.983	0.583
86.030	0.559
86.146	0.423
86.332	0.345
86.471	0.314
86.610	0.491
86.750	0.988
86.819	0.634
87.052	0.488
87.214	0.539
87.353	0.409
87.609	0.495
87.725	0.273
88.305	0.236
88.514	0.787
88.631	0.762
88.700	0.615
88.956	0.505
89.072	0.445
89.304	0.432
89.397	0.664
89.513	0.497
89.699	0.320
89.838	0.319
89.977	0.371
90.279	0.613
90.326	0.825
90.535	0.735
90.674	0.599
90.906	0.384
91.162	0.281
91.417	0.275
91.510	0.222
92.021	0.643
92.206	0.624
92.439	0.508
92.717	0.235
92.764	0.320
92.996	0.606
93.275	0.541
93.321	0.482
93.623	0.488
93.832	0.751
93.994	0.536
94.157	0.488
94.366	0.507
94.482	0.488
94.691	0.672
94.900	0.536
95.132	0.506
95.179	0.436
95.411	0.396
95.597	0.725
95.666	0.581
95.945	0.467
96.154	0.416
96.293	0.385
96.502	0.479
96.688	0.412
96.943	0.497
97.176	0.501
97.454	0.332
97.710	0.397
97.849	0.556
98.267	0.427
98.360	0.414
98.499	0.739
98.615	0.667
98.708	0.542
98.871	0.566
99.033	0.720
99.219	0.818
99.312	0.631
99.474	0.671
99.660	0.709
99.730	0.549
99.915	0.399
100.008	0.817
100.055	0.762
100.287	0.645
100.473	0.487
100.705	0.335
100.751	0.579
100.914	0.766
101.053	0.477
101.100	0.468
101.402	0.341
101.587	0.355
101.773	0.556
101.820	0.446
101.912	0.210
102.679	0.782
102.795	0.726
102.888	0.638
102.957	0.638
103.259	0.805
103.352	0.564
103.584	0.546
103.724	0.514
103.933	0.372
104.025	0.630
104.165	0.744
104.443	0.595
104.490	0.825
104.792	0.621
104.954	0.521
105.163	0.452
105.372	0.612
105.535	0.479
105.628	0.410
105.837	0.269
106.255	0.791
106.371	0.649
106.463	0.674
106.580	0.598
106.672	0.300
106.951	0.789
107.114	0.811
107.276	0.663
107.439	0.534
107.555	0.490
107.624	0.435
107.810	0.353
107.996	0.681
108.275	0.368
108.484	0.504
108.623	0.229
108.832	0.540
108.948	0.687
109.180	0.346
109.366	0.585
109.575	0.544
109.830	0.592
109.970	0.608
110.109	0.616
110.155	0.373
110.481	0.226
110.643	0.789
110.736	0.656
110.968	0.490
111.131	0.499
111.270	0.487
111.340	0.468
111.502	0.350
111.642	0.252
111.943	0.693
112.152	0.471
112.454	0.631
112.477	0.430
112.756	0.407
112.849	0.612
112.988	0.498
113.104	0.452
113.337	0.579
113.453	0.635
113.662	0.430
113.847	0.563
113.987	0.680
114.173	0.663
114.405	0.646
114.544	0.786
114.637	0.742
114.730	0.583
114.823	0.313
115.078	0.817
115.217	0.622
115.310	0.521
115.519	0.532
115.751	0.511
115.891	0.596
115.960	0.573
116.100	0.349
116.634	0.375
116.680	0.519
116.959	0.659
117.029	0.583
117.145	0.652
117.307	0.527
117.377	0.476
117.656	0.531
117.748	0.816
117.818	0.642
118.143	0.592
118.213	0.591
118.468	0.783
118.677	0.871
118.770	0.748
118.863	0.692
119.095	0.652
119.258	0.509
119.443	0.517
119.560	0.512
119.676	0.415
119.792	0.276
119.908	0.203
120.279	0.276
120.395	0.761
120.697	0.640
120.744	0.579
120.860	0.351
121.139	0.933
121.255	0.898
121.301	0.712
121.626	0.577
121.742	0.555
121.835	0.390
121.974	0.375
122.160	0.959
122.230	0.524
122.462	0.417
122.625	0.403
122.880	0.366
123.019	0.517
123.066	0.627
123.182	0.327
123.484	0.352
123.623	0.329
123.948	0.641
124.041	0.549
124.204	0.420
124.413	0.347
124.621	0.308
124.830	0.643
125.039	0.460
125.248	0.319
125.550	0.259
125.690	0.433
125.713	0.594
125.852	0.405
126.154	0.846
126.224	0.677
126.293	0.447
126.618	0.550
126.665	0.484
126.851	0.465
126.990	0.392
127.106	0.334
127.245	0.268
127.478	0.660
127.687	0.708
127.965	0.775
128.058	0.554
128.313	0.635
128.476	0.554
128.662	0.494
128.778	0.396
128.848	0.306
129.126	0.501
129.242	0.834
129.358	0.624
129.428	0.519
129.660	0.409
129.823	0.354
130.101	0.354
130.171	0.489
130.403	0.189
130.891	0.162
130.984	0.572
131.053	0.686
131.216	0.616
131.286	0.518
131.471	0.331
131.541	0.225
131.913	0.536
132.098	0.414
132.400	0.472
132.563	0.471
132.818	0.821
132.934	0.811
133.027	0.672
133.259	0.366
133.677	0.644
133.747	0.570
133.863	0.427
134.095	0.315
134.606	0.649
134.722	0.672
134.838	0.641
135.047	0.526
135.303	0.274
135.419	0.610
135.465	0.494
135.790	0.583
135.837	0.499
136.092	0.332
136.208	0.384
136.324	0.747
136.510	0.541
136.719	0.481
136.882	0.486
137.044	0.441
137.137	0.662
137.207	0.550
137.439	0.491
137.601	0.425
137.857	0.387
137.927	0.485
138.112	0.611
138.205	0.476
138.298	0.380
138.577	0.319
138.646	0.289
138.995	0.728
139.157	0.503
139.227	0.405
139.482	0.277
139.854	0.519
139.923	0.483
140.016	0.412
140.318	0.958
140.341	0.727
140.458	0.424
140.759	0.421
140.899	0.435
141.061	0.238
141.642	0.676
141.735	0.685
141.851	0.682
142.129	0.485
142.385	0.447
142.547	0.675
142.687	0.439
142.965	0.523
143.151	0.632
143.267	0.535
143.406	0.932
143.523	0.621
143.732	0.496
143.917	0.441
144.010	0.455
144.196	0.676
144.312	0.332
144.962	0.257
145.171	0.653
145.287	0.691
145.450	0.653
145.636	0.546
145.798	0.479
146.007	0.588
146.100	0.618
146.193	0.479
146.471	0.413
146.518	0.480
146.750	0.497
146.936	0.739
147.052	0.844
147.122	0.852
147.191	0.724
147.423	0.546
147.632	0.404
147.795	0.470
148.097	0.393
148.236	0.351
148.352	0.232
148.724	0.639
148.840	0.622
148.933	0.598
149.049	0.552
149.165	0.406
149.444	0.294
149.513	0.290
149.629	0.590
149.769	0.546
149.908	0.516
149.978	0.318
150.280	0.546
150.489	0.954
150.558	0.612
150.814	0.451
150.930	0.442
151.069	0.439
151.139	0.365
151.371	0.568
151.510	0.323
152.276	0.758
152.323	0.635
152.485	0.556
152.694	0.375
152.950	0.267
153.159	0.716
153.228	0.620
153.414	0.539
153.484	0.415
153.577	0.368
153.809	0.391
154.018	0.560
154.041	0.737
154.297	0.506
154.389	0.397
154.645	0.331
154.924	0.513
154.970	0.340
155.713	0.653
155.945	0.656
156.015	0.487
156.340	0.344
156.526	0.303
156.688	0.663
156.804	0.650
156.920	0.634
156.967	0.603
157.060	0.430
157.362	0.552
157.455	0.481
157.571	0.825
157.733	0.608
157.872	0.518
158.012	0.520
158.198	0.445
158.430	0.743
158.453	0.660
158.662	0.479
158.801	0.404
158.941	0.462
159.080	0.347
159.382	0.582
159.568	0.444
159.753	0.381
159.869	0.280
160.241	0.631
160.311	0.595
160.427	0.463
160.543	0.317
160.821	0.390
160.961	0.570
161.054	0.488
161.123	0.391
161.263	0.292
161.564	0.629
161.634	0.373
162.238	0.600
162.424	0.421
162.563	0.352
162.772	0.367
162.958	0.622
163.004	0.639
163.120	0.468
163.376	0.435
163.492	0.392
163.631	0.332
163.840	0.840
163.910	0.615
164.165	0.388
164.467	0.431
164.560	0.468
164.699	0.468
164.769	0.451
164.838	0.333
165.071	0.505
165.373	0.352
165.489	0.345
165.721	0.453
165.837	0.484
165.976	0.281
166.650	0.754
