time	RMS
88.004	0.478
88.259	0.278
88.514	0.431
88.747	0.262
88.770	0.254
89.002	0.468
89.258	0.211
89.513	0.408
89.768	0.239
90.001	0.473
90.256	0.286
90.279	0.319
90.511	0.461
90.767	0.309
91.022	0.707
91.254	0.527
91.510	0.409
91.765	0.237
91.997	0.238
92.021	0.498
92.253	0.275
92.508	0.412
92.764	0.243
93.019	0.448
93.251	0.217
93.507	0.551
93.576	0.385
93.762	0.258
94.018	0.443
94.273	0.257
94.505	0.406
94.761	0.215
95.016	0.489
95.132	0.712
95.271	0.622
95.527	0.486
95.759	0.274
96.015	0.469
96.270	0.267
96.525	0.456
96.758	0.257
96.781	0.260
97.013	0.480
97.268	0.271
97.524	0.504
97.756	0.172
97.895	0.276
98.011	0.460
98.267	0.255
98.499	0.517
98.638	0.292
98.754	0.262
99.010	0.560
99.265	0.736
99.521	0.578
99.753	0.372
100.008	0.530
100.032	0.556
100.264	0.347
100.519	0.671
100.751	0.303
101.007	0.450
101.262	0.219
101.518	0.432
101.750	0.207
101.773	0.219
102.005	0.423
102.261	0.661
102.377	0.759
102.516	0.909
102.609	0.442
102.772	0.417
103.004	0.589
103.259	0.414
103.282	0.478
103.515	0.471
103.770	0.398
104.002	0.531
104.258	0.331
104.513	0.427
104.768	0.272
105.001	0.378
105.024	0.478
105.256	0.283
105.535	0.453
105.767	0.249
105.999	0.437
106.255	0.268
106.510	0.507
106.649	0.308
106.765	0.221
107.021	0.454
107.276	0.443
107.532	0.397
107.764	0.154
108.019	0.474
108.251	0.260
108.275	0.240
108.507	0.428
108.762	0.253
109.018	0.450
109.273	0.229
109.505	0.429
109.761	0.220
109.900	0.259
110.016	0.413
110.272	0.264
110.504	0.420
110.759	0.247
111.015	0.310
111.270	0.475
111.502	0.175
111.525	0.432
111.758	0.184
112.013	0.455
112.268	0.243
112.501	0.405
112.756	0.224
113.012	0.631
113.058	0.434
113.267	0.220
113.522	0.459
113.755	0.252
114.010	0.488
114.265	0.299
114.521	0.629
114.567	0.385
114.753	0.278
114.776	0.251
115.008	0.450
115.264	0.425
115.519	0.426
115.751	0.196
116.007	0.484
116.262	0.276
116.402	0.272
116.518	0.419
116.750	0.236
117.005	0.450
117.261	0.243
117.516	0.444
117.772	0.260
118.004	0.459
118.027	0.453
118.259	0.288
118.515	0.416
118.770	0.236
119.002	0.289
119.258	0.451
119.513	0.548
119.583	0.365
119.769	0.161
120.001	0.479
120.256	0.251
120.512	0.426
120.767	0.299
120.999	0.509
121.255	0.328
121.278	0.324
121.580	0.393
121.765	0.288
122.021	0.435
122.276	0.261
122.508	0.451
122.764	0.231
122.903	0.255
123.019	0.478
123.275	0.438
123.530	0.406
123.762	0.167
124.018	0.509
124.250	0.266
124.505	0.482
124.529	0.417
124.761	0.298
125.016	0.453
125.272	0.249
125.550	0.466
125.759	0.286
126.015	0.645
126.061	0.369
126.270	0.263
126.502	0.410
126.758	0.217
127.013	0.277
127.269	0.460
127.524	0.520
127.756	0.354
127.988	0.385
128.012	0.514
128.267	0.326
128.499	0.448
128.755	0.302
129.010	0.507
129.265	0.311
129.498	0.292
129.521	0.489
129.753	0.214
129.892	0.333
130.009	0.487
130.264	0.332
130.519	0.475
130.752	0.247
131.007	0.473
131.030	0.544
131.262	0.736
131.518	0.580
131.750	0.401
132.005	0.549
132.261	0.385
132.516	0.691
132.748	0.414
132.772	0.326
133.004	0.460
133.259	0.280
133.515	0.611
133.584	0.369
133.770	0.260
134.002	0.449
134.258	0.657
134.374	0.778
134.513	0.668
134.769	0.445
135.001	0.605
135.256	0.487
135.512	0.488
135.767	0.419
135.999	0.626
136.022	0.553
136.231	0.441
136.255	0.336
136.510	0.439
136.766	0.300
137.021	0.501
137.253	0.295
137.509	0.281
137.532	0.476
137.764	0.249
138.019	0.458
138.275	0.323
138.507	0.469
138.762	0.239
139.018	0.457
139.250	0.256
139.273	0.395
139.529	0.406
139.761	0.161
140.016	0.483
140.249	0.234
140.504	0.419
140.759	0.231
140.899	0.253
141.015	0.447
141.270	0.218
141.526	0.467
141.758	0.271
142.013	0.471
142.269	0.318
142.292	0.320
142.524	0.478
142.756	0.239
143.012	0.475
143.267	0.468
143.523	0.523
143.569	0.357
143.755	0.146
144.010	0.534
144.033	0.439
144.266	0.324
144.567	0.355
144.753	0.243
145.009	0.476
145.264	0.216
145.519	0.454
145.752	0.262
145.891	0.293
146.007	0.463
146.262	0.312
146.518	0.462
146.750	0.266
147.006	0.456
147.261	0.472
147.284	0.456
147.516	0.413
147.772	0.189
148.004	0.494
148.259	0.272
148.515	0.415
148.770	0.230
149.002	0.417
149.026	0.454
149.258	0.203
149.513	0.451
149.769	0.306
150.001	0.462
150.256	0.295
150.512	0.614
150.558	0.431
150.767	0.255
150.999	0.441
151.255	0.440
151.510	0.392
151.766	0.168
152.021	0.535
152.160	0.398
152.276	0.259
152.509	0.400
152.764	0.236
153.020	0.475
153.252	0.210
153.530	0.548
153.646	0.368
153.763	0.318
153.879	0.347
154.018	0.479
154.273	0.330
154.506	0.538
154.668	0.421
154.761	0.294
155.016	0.459
155.272	0.696
155.318	0.346
155.527	0.425
155.759	0.244
156.015	0.521
156.270	0.329
156.526	0.438
156.758	0.282
157.013	0.628
157.060	0.403
157.269	0.343
157.571	0.423
157.756	0.285
158.012	0.483
158.267	0.319
158.499	0.445
158.755	0.236
158.894	0.294
159.010	0.353
159.266	0.490
159.521	0.545
159.753	0.365
160.009	0.514
160.264	0.306
160.496	0.327
160.520	0.461
160.775	0.302
161.007	0.522
161.263	0.310
161.518	0.496
161.773	0.269
161.890	0.359
162.006	0.510
162.029	0.479
162.261	0.286
162.516	0.491
162.772	0.332
163.004	0.562
163.260	1.000
163.352	0.566
163.538	0.594
163.747	0.518
163.770	0.374
164.003	0.569
164.258	0.388
164.513	0.675
164.769	0.335
165.001	0.484
165.256	0.322
165.280	0.250
165.512	0.424
165.767	0.249
165.999	0.459
166.278	0.747
166.510	0.679
166.766	0.455
166.998	0.693
167.021	0.591
167.277	0.476
167.532	0.492
167.764	0.374
168.020	0.531
168.252	0.325
168.507	0.389
168.530	0.431
168.763	0.264
169.018	0.509
169.250	0.226
169.529	0.429
169.761	0.248
170.017	0.665
170.063	0.431
170.272	0.399
170.574	0.389
170.760	0.255
171.015	0.484
171.270	0.455
171.526	0.578
171.572	0.363
171.758	0.275
171.781	0.175
172.013	0.493
172.269	0.287
172.524	0.453
172.756	0.255
173.012	0.433
173.267	0.217
173.500	0.494
173.569	0.408
173.755	0.306
174.010	0.451
174.266	0.268
174.521	0.634
174.568	0.399
174.753	0.232
175.009	0.418
175.032	0.276
175.264	0.456
175.520	0.409
175.752	0.145
176.007	0.435
176.263	0.207
176.518	0.444
176.750	0.193
176.774	0.216
177.006	0.456
177.261	0.187
177.517	0.449
177.772	0.155
177.888	0.269
178.004	0.465
178.260	0.232
178.283	0.250
178.515	0.429
178.770	0.260
179.003	0.466
179.258	0.440
179.513	0.411
179.769	0.245
180.001	0.418
180.024	0.505
180.257	0.243
180.512	0.405
180.767	0.226
181.000	0.441
181.255	0.202
181.510	0.248
181.534	0.430
181.766	0.227
182.021	0.426
182.253	0.238
182.509	0.406
182.764	0.190
183.020	0.276
183.252	0.298
183.275	0.447
183.531	0.425
183.763	0.152
184.018	0.447
184.250	0.203
184.506	0.428
184.761	0.206
184.784	0.248
185.017	0.505
185.249	0.195
185.504	0.415
185.760	0.362
186.015	0.694
186.061	0.472
186.270	0.311
186.456	0.525
186.526	0.451
186.758	0.244
187.014	0.476
187.269	0.445
187.524	0.557
187.571	0.360
187.757	0.352
188.012	0.746
188.058	0.450
188.267	0.279
188.523	0.539
188.755	0.257
189.010	0.426
189.266	0.217
189.521	0.578
189.637	0.448
189.753	0.289
189.777	0.370
190.009	0.499
190.264	0.351
190.520	0.459
190.752	0.276
191.007	0.329
191.263	0.602
191.309	0.428
191.518	0.421
191.750	0.174
192.006	0.434
192.261	0.206
192.517	0.424
192.772	0.219
193.004	0.442
193.027	0.458
193.260	0.196
193.515	0.459
193.771	0.195
193.887	0.371
194.003	0.484
194.258	0.267
194.514	0.576
194.560	0.415
194.769	0.268
195.001	0.475
195.257	0.448
195.512	0.393
195.767	0.259
196.023	0.522
196.255	0.253
196.394	0.402
196.510	0.460
196.766	0.251
197.021	0.463
197.254	0.254
197.509	0.444
197.764	0.269
197.997	0.268
198.020	0.465
198.252	0.273
198.507	0.406
198.763	0.190
199.018	0.278
199.250	0.450
199.506	0.289
199.529	0.531
199.761	0.296
200.017	0.473
200.272	0.273
200.504	0.463
200.760	0.287
201.015	0.728
201.062	0.465
201.271	0.335
201.526	0.594
201.642	0.471
201.758	0.244
201.898	0.552
202.014	0.626
202.269	0.501
202.524	0.506
202.757	0.313
202.780	0.322
203.012	0.603
203.267	0.724
203.569	0.546
203.755	0.337
204.011	0.546
204.266	0.366
204.498	0.522
204.521	0.681
204.754	0.308
205.009	0.445
205.264	0.227
205.520	0.446
205.752	0.385
206.007	0.563
206.031	0.462
206.263	0.767
206.565	0.879
206.611	0.448
206.913	0.536
207.006	0.593
207.261	0.499
207.517	0.411
207.540	0.471
207.772	0.401
208.004	0.538
208.260	0.308
208.515	0.420
208.771	0.232
209.003	0.503
209.258	0.298
209.281	0.215
209.514	0.494
209.769	0.196
209.885	0.392
210.001	0.533
210.257	0.349
210.512	0.472
210.768	0.281
211.000	0.346
211.023	0.471
211.255	0.436
211.511	0.390
211.766	0.248
212.021	0.499
212.254	0.232
212.509	0.508
212.648	0.460
212.764	0.242
213.020	0.491
213.252	0.266
213.531	0.657
213.577	0.398
213.763	0.280
214.018	0.454
214.251	0.193
214.274	0.290
214.506	0.430
214.761	0.241
215.017	0.303
215.272	0.442
215.528	0.430
215.760	0.153
216.015	0.429
216.271	0.205
216.503	0.429
216.758	0.235
217.014	0.492
217.269	0.187
217.501	0.128
217.525	0.427
217.757	0.244
218.012	0.568
218.268	0.382
218.500	0.452
218.755	0.273
219.011	0.524
219.034	0.467
219.266	0.446
219.521	0.527
219.638	0.493
219.754	0.400
220.009	0.540
220.264	0.336
220.520	0.564
220.682	0.500
220.775	0.225
221.008	0.431
221.263	0.199
221.518	0.466
221.774	0.385
222.006	0.538
222.261	0.339
222.285	0.380
222.517	0.492
222.772	0.264
222.888	0.367
223.004	0.348
223.260	0.516
223.515	0.445
223.771	0.279
224.003	0.531
224.142	0.415
224.258	0.234
224.514	0.420
224.769	0.232
225.001	0.577
225.141	0.387
225.396	0.454
225.535	0.509
225.768	0.192
225.930	0.501
226.023	0.514
226.255	0.284
226.511	0.440
226.766	0.278
227.021	0.547
227.254	0.268
227.277	0.483
227.579	0.421
227.672	0.443
227.765	0.318
228.020	0.592
228.159	0.421
228.252	0.264
228.508	0.403
228.763	0.231
228.879	0.450
229.018	0.498
229.251	0.271
229.436	0.521
229.622	0.346
229.761	0.291
230.017	0.467
230.272	0.318
230.504	0.444
230.528	0.475
230.760	0.281
231.015	0.348
231.271	0.464
231.526	0.461
231.758	0.176
232.014	0.565
232.060	0.410
232.269	0.209
232.501	0.431
232.757	0.248
233.012	0.509
233.268	0.219
233.523	0.443
233.755	0.301
233.895	0.283
234.011	0.487
234.266	0.379
234.498	0.548
234.638	0.461
234.754	0.331
235.009	0.544
235.265	0.643
235.311	0.428
235.520	0.447
235.752	0.163
235.892	0.355
236.008	0.488
236.263	0.287
236.518	0.482
236.751	0.298
237.006	0.550
237.145	0.357
237.261	0.226
237.517	0.430
237.772	0.312
238.005	0.453
238.260	0.270
238.515	0.468
238.748	0.174
238.771	0.235
238.887	0.274
239.003	0.299
239.258	0.464
239.514	0.395
239.769	0.149
240.001	0.479
240.257	0.257
240.280	0.253
240.512	0.431
240.768	0.317
241.000	0.462
241.255	0.209
241.534	0.469
241.766	0.224
241.998	0.333
242.022	0.536
242.254	0.328
242.509	0.440
242.765	0.324
243.020	0.469
243.275	0.549
243.415	0.381
243.531	0.434
243.763	0.251
244.019	0.512
244.251	0.248
244.506	0.412
244.762	0.234
245.017	0.456
245.249	0.245
245.272	0.222
245.505	0.432
245.760	0.236
246.015	0.414
246.271	0.248
246.503	0.406
246.758	0.171
246.875	0.193
247.014	0.276
247.269	0.453
247.525	0.527
247.757	0.285
248.012	0.465
248.268	0.260
248.500	0.543
248.570	0.407
248.755	0.273
249.011	0.511
249.266	0.265
249.522	0.469
249.754	0.207
249.893	0.261
250.009	0.580
250.149	0.527
250.265	0.360
250.520	0.447
250.752	0.245
251.008	0.554
251.263	0.729
251.519	0.631
251.751	0.666
251.774	0.451
252.006	0.591
252.262	0.404
252.517	0.747
252.749	0.315
253.005	0.441
253.260	0.216
253.515	0.462
253.771	0.385
254.003	0.526
254.282	0.726
254.375	0.780
254.514	0.935
254.560	0.621
254.769	0.472
255.002	0.777
255.025	0.600
255.257	0.538
255.512	0.489
255.768	0.358
256.000	0.535
256.255	0.286
256.511	0.459
256.534	0.407
256.766	0.238
257.022	0.481
257.254	0.215
257.533	0.477
257.765	0.290
258.020	0.693
258.067	0.411
258.276	0.327
258.508	0.543
258.647	0.443
258.763	0.342
259.019	0.522
259.274	0.465
259.529	0.440
259.762	0.176
259.878	0.395
260.017	0.519
260.249	0.272
260.505	0.443
260.760	0.286
261.016	0.576
261.132	0.340
261.271	0.192
261.503	0.532
261.573	0.365
261.759	0.214
262.014	0.415
262.269	0.246
262.502	0.407
262.757	0.182
263.012	0.276
263.268	0.451
263.523	0.444
263.755	0.283
264.011	0.461
264.266	0.262
264.499	0.543
264.568	0.393
264.754	0.292
264.916	0.260
265.009	0.485
265.265	0.272
265.520	0.462
265.752	0.183
266.008	0.428
266.263	0.313
266.310	0.276
266.519	0.566
266.635	0.324
266.751	0.235
267.006	0.442
267.262	0.397
267.517	0.408
267.749	0.153
268.005	0.404
268.028	0.474
268.260	0.234
268.516	0.428
268.748	0.224
269.003	0.445
269.259	0.203
269.514	0.308
269.537	0.443
269.769	0.233
270.002	0.449
270.257	0.289
270.512	0.446
270.768	0.241
271.000	0.474
271.256	0.338
271.279	0.460
271.534	0.391
271.766	0.160
272.022	0.462
272.254	0.228
272.509	0.407
272.765	0.245
272.997	0.289
273.020	0.485
273.252	0.214
273.531	0.444
273.763	0.227
274.019	0.450
274.274	0.279
274.506	0.527
274.646	0.291
274.762	0.240
275.017	0.461
275.273	0.456
275.528	0.425
275.760	0.196
276.016	0.511
276.248	0.317
276.271	0.264
276.503	0.415
276.759	0.232
277.014	0.447
277.269	0.213
277.502	0.437
277.757	0.280
277.780	0.262
278.013	0.438
278.268	0.248
278.523	0.469
278.756	0.202
279.011	0.444
279.266	0.677
279.313	0.369
279.522	0.409
279.754	0.153
280.009	0.484
280.265	0.280
280.520	0.450
280.752	0.290
281.008	0.544
281.031	0.485
281.263	0.231
281.519	0.466
281.751	0.292
281.890	0.332
282.006	0.459
282.262	0.304
282.517	0.552
282.657	0.461
282.773	0.230
283.005	0.453
283.260	0.439
283.516	0.417
283.771	0.240
284.003	0.510
284.259	0.317
284.282	0.327
284.514	0.466
284.770	0.298
285.002	0.469
285.257	0.289
285.536	0.472
285.768	0.298
286.000	0.406
286.023	0.456
286.256	0.268
286.511	0.416
286.766	0.239
287.022	0.347
287.254	0.496
287.509	0.576
287.579	0.425
287.765	0.283
288.020	0.493
288.253	0.266
288.508	0.431
288.763	0.289
289.019	0.526
289.251	0.315
289.274	0.307
289.506	0.475
289.762	0.296
290.017	0.463
290.273	0.274
290.505	0.441
290.760	0.299
290.900	0.372
291.016	0.535
291.271	0.621
291.527	0.539
291.759	0.314
292.014	0.516
292.270	0.319
292.502	0.470
292.525	0.587
292.757	0.335
293.013	0.515
293.268	0.298
293.547	0.787
293.570	0.443
293.756	0.260
294.011	0.564
294.034	0.412
294.266	0.597
294.568	0.502
294.754	0.324
294.893	0.426
295.010	0.501
295.265	0.481
295.520	0.477
295.753	0.286
295.776	0.299
296.008	0.507
296.263	0.321
296.519	0.435
296.751	0.385
297.006	0.519
297.262	0.271
297.517	0.425
297.773	0.232
297.889	0.275
298.005	0.479
298.260	0.329
298.516	0.469
298.771	0.307
299.003	0.400
299.027	0.476
299.259	0.445
299.514	0.412
299.770	0.254
300.002	0.491
300.257	0.297
300.513	0.599
300.559	0.364
300.768	0.256
301.000	0.446
301.256	0.226
301.511	0.441
301.767	0.286
302.022	0.460
302.254	0.192
302.277	0.267
302.510	0.414
302.765	0.239
303.020	0.391
303.253	0.611
303.322	0.441
303.531	0.437
303.763	0.197
304.019	0.449
304.251	0.216
304.506	0.432
304.762	0.289
305.017	0.529
305.250	0.238
305.505	0.288
305.528	0.484
305.760	0.270
306.016	0.469
306.271	0.273
306.503	0.442
306.759	0.275
307.014	0.493
307.246	0.261
307.270	0.467
307.525	0.452
307.757	0.301
308.013	0.496
308.268	0.260
308.524	0.428
308.756	0.265
308.779	0.258
309.011	0.469
309.267	0.346
309.568	0.398
309.754	0.271
310.010	0.424
310.265	0.267
310.497	0.530
310.567	0.377
310.753	0.190
310.892	0.224
311.008	0.292
311.263	0.543
311.519	0.503
311.751	0.405
312.007	0.546
312.030	0.549
312.262	0.317
312.517	0.443
312.773	0.303
312.842	0.301
313.005	0.486
313.260	0.355
313.516	0.591
313.585	0.398
313.771	0.278
314.003	0.468
314.259	0.306
314.514	0.511
314.654	0.332
314.770	0.240
315.002	0.497
315.257	0.685
315.281	0.618
315.513	0.494
315.768	0.318
316.000	0.501
316.256	0.312
316.511	0.554
316.767	0.297
316.999	0.369
317.022	0.474
317.254	0.326
317.510	0.446
317.765	0.339
318.020	0.489
318.253	0.527
318.508	0.785
318.601	0.388
318.764	0.373
319.019	0.481
319.274	0.574
319.530	0.503
319.762	0.324
320.017	0.504
320.250	0.275
320.273	0.278
320.505	0.414
320.760	0.255
321.016	0.467
321.271	0.232
321.503	0.416
321.759	0.211
321.898	0.274
322.014	0.465
322.270	0.332
322.525	0.444
322.757	0.258
323.013	0.671
323.268	0.705
323.315	0.463
323.524	0.425
323.756	0.210
324.011	0.485
324.267	0.284
324.522	0.425
324.754	0.256
325.010	0.544
325.033	0.444
325.265	0.243
325.521	0.439
325.753	0.235
326.008	0.441
326.264	0.309
326.519	0.438
326.751	0.229
326.891	0.252
327.007	0.594
327.262	0.631
327.517	0.507
327.750	0.284
328.005	0.494
328.260	0.362
328.284	0.298
328.516	0.454
328.771	0.340
329.004	0.536
329.259	0.320
329.538	0.688
329.584	0.429
329.770	0.291
330.002	0.450
330.025	0.442
330.257	0.264
330.513	0.461
330.768	0.259
331.000	0.544
331.256	0.737
331.511	0.477
331.535	0.565
331.767	0.326
332.022	0.558
332.254	0.355
332.510	0.670
332.765	0.356
333.021	0.480
333.253	0.317
333.276	0.355
333.578	0.404
333.764	0.293
334.019	0.447
334.274	0.672
334.367	0.745
334.507	0.666
334.762	0.349
334.878	0.517
335.018	0.573
335.273	0.481
335.528	0.475
335.761	0.410
336.016	0.547
336.271	0.331
336.504	0.366
336.527	0.422
336.759	0.257
337.014	0.480
337.270	0.228
337.525	0.446
337.757	0.268
338.013	0.624
338.059	0.446
338.268	0.322
338.500	0.459
338.756	0.226
339.011	0.442
339.267	0.427
339.522	0.532
339.754	0.395
339.778	0.360
340.010	0.517
340.265	0.344
340.521	0.499
340.683	0.375
340.753	0.299
341.008	0.464
341.264	0.300
341.426	0.333
341.519	0.498
341.751	0.251
342.007	0.434
342.262	0.300
342.518	0.524
342.657	0.246
342.889	0.247
343.005	0.430
343.028	0.402
343.261	0.754
343.516	0.567
343.771	0.316
344.004	0.531
344.259	0.330
344.514	0.659
344.747	0.329
344.770	0.319
345.002	0.442
345.258	0.208
345.513	0.387
345.768	0.241
346.001	0.401
346.256	0.359
346.279	0.723
346.511	0.634
346.767	0.451
347.022	0.611
347.278	0.386
347.510	0.385
347.765	0.306
347.974	0.584
348.021	0.460
348.276	0.285
348.508	0.297
348.764	0.211
349.019	0.316
349.251	0.157
349.507	0.351
349.576	0.257
349.762	0.190
350.018	0.287
350.273	0.191
350.505	0.252
350.761	0.142
351.016	0.155
351.248	0.148
351.271	0.252
351.527	0.220
351.759	0.131
352.015	0.239
352.270	0.132
352.502	0.196
352.758	0.114
353.013	0.212
353.268	0.143
353.756	0.101
354.011	0.182
354.267	0.121
355.010	0.139
355.265	0.107
